damid,date,longitude,latitude,state,systemidx,watershed
SFKernRiver:130420:25,2013-04-20,-118.1469502725733,35.99690035123252,CA,00000000000000000146,SFKernRiver
SFKernRiver:130420:26,2013-04-20,-118.14877404490419,35.99649903213771,CA,00000000000000000147,SFKernRiver
SFKernRiver:130420:27,2013-04-20,-118.15030797566659,35.99546452069332,CA,00000000000000000148,SFKernRiver
SFKernRiver:130420:28,2013-04-20,-118.15078064037823,35.99484470564689,CA,00000000000000000149,SFKernRiver
SFKernRiver:130420:29,2013-04-20,-118.15097684082458,35.99438541823838,CA,0000000000000000014a,SFKernRiver
SFKernRiver:130420:30,2013-04-20,-118.15100805453196,35.99422934970151,CA,0000000000000000014b,SFKernRiver
SFKernRiver:130420:31,2013-04-20,-118.15074050846874,35.99372993038353,CA,0000000000000000014c,SFKernRiver
SFKernRiver:130420:32,2013-04-20,-118.15025892555498,35.991009878740925,CA,0000000000000000014d,SFKernRiver
SFKernRiver:130420:33,2013-04-20,-118.15004042960335,35.990327636279744,CA,0000000000000000014e,SFKernRiver
SFKernRiver:130420:34,2013-04-20,-118.14943845096117,35.985444920626215,CA,0000000000000000014f,SFKernRiver
SFKernRiver:130420:35,2013-04-20,-118.15479383132633,35.98033924992003,CA,00000000000000000150,SFKernRiver
SFKernRiver:130420:36,2013-04-20,-118.15505245918742,35.979697139368334,CA,00000000000000000151,SFKernRiver
SFKernRiver:130420:37,2013-04-20,-118.15490084975161,35.97961687554937,CA,00000000000000000152,SFKernRiver
SFKernRiver:130420:38,2013-04-20,-118.15582388366967,35.975947035382376,CA,00000000000000000153,SFKernRiver
SFKernRiver:130420:39,2013-04-20,-118.15996638854837,35.97042666827822,CA,00000000000000000154,SFKernRiver
SFKernRiver:130420:40,2013-04-20,-118.1596810060809,35.96979793502968,CA,00000000000000000155,SFKernRiver
SFKernRiver:130420:41,2013-04-20,-118.15898984541762,35.9682729224694,CA,00000000000000000156,SFKernRiver
SFKernRiver:130420:42,2013-04-20,-118.15889620429552,35.96767540292824,CA,00000000000000000157,SFKernRiver
SFKernRiver:130420:43,2013-04-20,-118.15820504363221,35.96653833215961,CA,00000000000000000158,SFKernRiver
SFKernRiver:130420:44,2013-04-20,-118.15822733913747,35.96627970429852,CA,00000000000000000159,SFKernRiver
SFKernRiver:130420:45,2013-04-20,-118.1609875226896,35.96209706751038,CA,0000000000000000015a,SFKernRiver
SFKernRiver:130420:46,2013-04-20,-118.16182137458658,35.960554218545894,CA,0000000000000000015b,SFKernRiver
SFKernRiver:130420:47,2013-04-20,-118.16301641366888,35.95965348013309,CA,0000000000000000015c,SFKernRiver
SFKernRiver:130420:48,2013-04-20,-118.16245456693618,35.95855654127394,CA,0000000000000000015d,SFKernRiver
SFKernRiver:130420:49,2013-04-20,-118.16232971210665,35.95851640936447,CA,0000000000000000015e,SFKernRiver
SFKernRiver:130420:50,2013-04-20,-118.160858208759,35.957107333431566,CA,0000000000000000015f,SFKernRiver
SFKernRiver:130420:51,2013-04-20,-118.1604479714621,35.95653210939568,CA,00000000000000000160,SFKernRiver
SFKernRiver:130420:52,2013-04-20,-118.1603454121379,35.95608619929033,CA,00000000000000000161,SFKernRiver
SFKernRiver:130420:53,2013-04-20,-118.16345786467319,35.95421783594894,CA,00000000000000000162,SFKernRiver
SFKernRiver:130420:54,2013-04-20,-118.1680819524656,35.95090918296729,CA,00000000000000000163,SFKernRiver
SFKernRiver:130420:55,2013-04-20,-118.1678411610087,35.94872868255215,CA,00000000000000000164,SFKernRiver
SFKernRiver:130420:56,2013-04-20,-118.16753348303602,35.948367495366824,CA,00000000000000000165,SFKernRiver
SFKernRiver:130420:57,2013-04-20,-118.16645883968212,35.946276176972745,CA,00000000000000000166,SFKernRiver
SFKernRiver:130420:58,2013-04-20,-118.16584794283783,35.94594620349479,CA,00000000000000000167,SFKernRiver
SFKernRiver:130420:59,2013-04-20,-118.16820680729512,35.94291847387951,CA,00000000000000000168,SFKernRiver
SFKernRiver:130420:60,2013-04-20,-118.16839408953938,35.9429006374753,CA,00000000000000000169,SFKernRiver
SFKernRiver:130420:61,2013-04-20,-118.19184004287838,35.97603621740346,CA,0000000000000000016a,SFKernRiver
SFKernRiver:130420:62,2013-04-20,-118.19043096694546,35.97509088798013,CA,0000000000000000016b,SFKernRiver
SFKernRiver:130420:63,2013-04-20,-118.18935186449055,35.970382077267686,CA,0000000000000000016c,SFKernRiver
SFKernRiver:130420:64,2013-04-20,-118.18787590204184,35.969659702897026,CA,0000000000000000016d,SFKernRiver
SFKernRiver:130420:65,2013-04-20,-118.18533867354246,35.97084582377724,CA,0000000000000000016e,SFKernRiver
SFKernRiver:130420:66,2013-04-20,-118.18153951944488,35.95961780732467,CA,0000000000000000016f,SFKernRiver
SFKernRiver:130420:67,2013-04-20,-118.18069674934578,35.95990764889314,CA,00000000000000000170,SFKernRiver
SFKernRiver:130420:68,2013-04-20,-118.18018395272466,35.960059258328954,CA,00000000000000000171,SFKernRiver
SFKernRiver:130420:69,2013-04-20,-118.1792698370087,35.96029559068479,CA,00000000000000000172,SFKernRiver
SFKernRiver:130420:70,2013-04-20,-118.17910930937076,35.96032234529111,CA,00000000000000000173,SFKernRiver
SFKernRiver:130420:71,2013-04-20,-118.17809263433061,35.96103134235861,CA,00000000000000000174,SFKernRiver
SFKernRiver:130420:72,2013-04-20,-118.17774036534736,35.96101350595439,CA,00000000000000000175,SFKernRiver
SFKernRiver:130420:73,2013-04-20,-118.1740036386646,35.96124983831022,CA,00000000000000000176,SFKernRiver
SFKernRiver:130420:74,2013-04-20,-118.17316532766654,35.96104917876282,CA,00000000000000000177,SFKernRiver
SFKernRiver:130420:75,2013-04-20,-118.17330355979918,35.96067015517328,CA,00000000000000000178,SFKernRiver
SFKernRiver:130420:76,2013-04-20,-118.17287548609806,35.9597872531647,CA,00000000000000000179,SFKernRiver
SFKernRiver:130420:77,2013-04-20,-118.17182759735049,35.95928783384671,CA,0000000000000000017a,SFKernRiver
SFKernRiver:130420:78,2013-04-20,-118.16989234749332,35.95943052508042,CA,0000000000000000017b,SFKernRiver
SFKernRiver:130420:79,2013-04-20,-118.16973181985539,35.958828546438205,CA,0000000000000000017c,SFKernRiver
SFKernRiver:130420:80,2013-04-20,-118.16921902323425,35.95816859948229,CA,0000000000000000017d,SFKernRiver
SFKernRiver:130420:81,2013-04-20,-118.1689603953731,35.95799469454121,CA,0000000000000000017e,SFKernRiver
SFKernRiver:130420:82,2013-04-20,-118.16831828482147,35.95791888982331,CA,0000000000000000017f,SFKernRiver
